name,sites,lnL,parameters,subsets,aic,aicc,bic
start_scheme,11292,-44035.47,3774,51,95618.94,99409.51,123289.34
step_1,11292,-44044.00,3700,50,95488.00,99095.88,122615.85
step_2,11292,-44053.08,3626,49,95358.17,98789.74,121943.45
step_3,11292,-44063.05,3552,48,95230.10,98491.57,121272.83
step_4,11292,-44076.46,3478,47,95108.93,98206.32,120609.10
step_5,11292,-44090.06,3404,46,94988.12,97927.29,119945.73
step_6,11292,-44104.33,3330,45,94868.67,97655.31,119283.73
step_7,11292,-44118.75,3256,44,94749.50,97389.15,118622.01
step_8,11292,-44134.07,3182,43,94632.14,97130.18,117962.09
step_9,11292,-44149.65,3108,42,94515.29,96876.96,117302.68
step_10,11292,-44167.26,3034,41,94402.52,96632.92,116647.36
step_11,11292,-44185.33,2960,40,94290.65,96394.74,115992.93
step_12,11292,-44203.59,2886,39,94179.17,96161.77,115338.89
step_13,11292,-44223.01,2812,38,94070.02,95935.85,114687.19
step_14,11292,-44242.49,2738,37,93960.99,95714.61,114035.59
step_15,11292,-44265.40,2664,36,93858.81,95504.70,113390.85
step_16,11292,-44289.84,2590,35,93759.69,95302.20,112749.18
step_17,11292,-44314.52,2516,34,93661.04,95104.40,112107.97
step_18,11292,-44337.56,2442,33,93559.11,94907.47,111463.49
step_19,11292,-44360.56,2368,32,93457.12,94714.49,110818.94
step_20,11292,-44390.10,2294,31,93368.20,94538.53,110187.46
step_21,11292,-44421.20,2220,30,93282.39,94369.51,109559.10
step_22,11292,-44454.43,2146,29,93200.86,94208.50,108935.00
step_23,11292,-44487.11,2072,28,93118.23,94050.05,108309.82
step_24,11292,-44528.45,1998,27,93052.90,93912.47,107701.94
step_25,11292,-44560.33,1924,26,92968.65,93759.45,107075.13
step_26,11292,-44600.16,1850,25,92900.32,93625.74,106464.24
step_27,11292,-44659.61,1776,24,92871.23,93534.59,105892.59
step_28,11292,-44698.41,1702,23,92800.82,93405.37,105279.63
step_29,11292,-44743.94,1628,22,92743.88,93292.78,104680.13
step_30,11292,-44783.61,1554,21,92675.22,93171.57,104068.92
step_31,11292,-44829.12,1480,20,92618.24,93065.06,103469.38
step_32,11292,-44918.41,1406,19,92648.82,93049.07,102957.40
step_33,11292,-45009.45,1332,18,92682.90,93039.47,102448.92
step_34,11292,-45042.54,1258,17,92601.07,92916.79,101824.54
step_35,11292,-45078.63,1184,16,92525.25,92802.89,101206.16
step_36,11292,-45129.00,1110,15,92478.01,92720.26,100616.36
step_37,11292,-45170.09,1036,14,92412.19,92621.71,100007.98
step_38,11292,-45225.15,962,13,92374.31,92553.69,99427.55
step_39,11292,-45272.48,888,12,92320.95,92472.72,98831.64
step_40,11292,-45336.62,814,11,92301.24,92427.88,98269.37
step_41,11292,-45400.74,740,10,92281.48,92385.42,97707.05
step_42,11292,-45471.87,666,9,92275.73,92359.35,97158.74
