INFO     | 2023-05-11 21:24:55,017 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2023-05-11 21:24:55,021 | config     | Setting 'alignment' to 'contat4PF_unsaturated.phy'
INFO     | 2023-05-11 21:24:55,022 | config     | Setting 'branchlengths' to 'unlinked'
INFO     | 2023-05-11 21:24:55,022 | parser     | You set 'models' to: GTR+G
INFO     | 2023-05-11 21:24:55,056 | model_load | This analysis will use the following 1 models of molecular evolution
INFO     | 2023-05-11 21:24:55,056 | model_load | GTR+G
INFO     | 2023-05-11 21:24:55,057 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2023-05-11 21:24:55,101 | config     | Setting 'search' to 'greedy'
INFO     | 2023-05-11 21:24:55,101 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2023-05-11 21:24:55,101 | config     | Looking for alignment file './contat4PF_unsaturated.phy'...
INFO     | 2023-05-11 21:24:55,101 | analysis   | Beginning Analysis
INFO     | 2023-05-11 21:24:55,143 | alignment  | Reading alignment file './contat4PF_unsaturated.phy'
INFO     | 2023-05-11 21:24:55,165 | analysis   | Starting tree will be estimated from the data.
INFO     | 2023-05-11 21:24:55,167 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2023-05-11 21:24:55,167 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2023-05-11 21:25:12,383 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2023-05-11 21:25:26,422 | raxml      | ML topology estimation finished
INFO     | 2023-05-11 21:25:26,423 | analysis_m | Performing Greedy Analysis
INFO     | 2023-05-11 21:25:26,423 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2023-05-11 21:25:27,784 | progress   |       Finished subset 1/51, 1.96 percent done
INFO     | 2023-05-11 21:25:28,006 | progress   |       Finished subset 2/51, 3.92 percent done
INFO     | 2023-05-11 21:25:28,201 | progress   |       Finished subset 3/51, 5.88 percent done
INFO     | 2023-05-11 21:25:28,506 | progress   |       Finished subset 4/51, 7.84 percent done
INFO     | 2023-05-11 21:25:28,757 | progress   |       Finished subset 5/51, 9.80 percent done
INFO     | 2023-05-11 21:25:28,852 | progress   |       Finished subset 6/51, 11.76 percent done
INFO     | 2023-05-11 21:25:29,371 | progress   |       Finished subset 7/51, 13.73 percent done
INFO     | 2023-05-11 21:25:29,548 | progress   |       Finished subset 8/51, 15.69 percent done
INFO     | 2023-05-11 21:25:29,776 | progress   |       Finished subset 9/51, 17.65 percent done
INFO     | 2023-05-11 21:25:29,948 | progress   |       Finished subset 10/51, 19.61 percent done
INFO     | 2023-05-11 21:25:30,139 | progress   |       Finished subset 11/51, 21.57 percent done
INFO     | 2023-05-11 21:25:30,503 | progress   |       Finished subset 12/51, 23.53 percent done
INFO     | 2023-05-11 21:25:30,602 | progress   |       Finished subset 13/51, 25.49 percent done
INFO     | 2023-05-11 21:25:31,405 | progress   |       Finished subset 14/51, 27.45 percent done
INFO     | 2023-05-11 21:25:31,682 | progress   |       Finished subset 15/51, 29.41 percent done
